Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,Instructor,Honor
"ACCT","3110","100","Intermediate Fin Acct I (HON)","33%","67%","0%","0%","0%","0%","0%","0%","Philo, Annieka C","H"
"ACCT","3120","1","Intermediate Financial Acct II","44%","17%","28%","0%","6%","0%","0%","6%","Knause, Terry Daniel",""
"ACCT","3120","2","Intermediate Financial Acct II","0%","39%","39%","11%","11%","0%","0%","0%","Madray, J Russell",""
"ACCT","3120","3","Intermediate Financial Acct II","20%","46%","23%","6%","3%","0%","0%","3%","Madray, J Russell",""
"ACCT","3120","4","Intermediate Financial Acct II","45%","42%","10%","0%","0%","0%","0%","3%","Knause, Terry Daniel",""
"ACCT","3120","5","Intermediate Financial Acct II","33%","33%","31%","0%","0%","0%","0%","3%","Knause, Terry Daniel",""
"ACCT","3120","6","Intermediate Financial Acct II","31%","50%","17%","0%","0%","0%","0%","3%","Knause, Terry Daniel",""
"ACCT","3130","1","Analytics for Acct Dec Making","57%","25%","14%","0%","0%","0%","0%","4%","Mammadov, Babak",""
"ACCT","3130","2","Analytics for Acct Dec Making","33%","40%","13%","0%","7%","0%","0%","7%","Mammadov, Babak",""
"ACCT","3130","3","Analytics for Acct Dec Making","28%","33%","28%","11%","0%","0%","0%","0%","Davis-Culler, Phebian L",""
"ACCT","3130","4","Analytics for Acct Dec Making","18%","64%","18%","0%","0%","0%","0%","0%","Davis-Culler, Phebian L",""
"ACCT","3130","5","Analytics for Acct Dec Making","32%","41%","18%","0%","5%","0%","0%","5%","Davis-Culler, Phebian L",""
"ACCT","3130","6","Analytics for Acct Dec Making","17%","35%","30%","13%","4%","0%","0%","0%","Davis-Culler, Phebian L",""
"ACCT","3130","105","Analytics for Accounting (HON)","80%","20%","0%","0%","0%","0%","0%","0%","Davis-Culler, Phebian L","H"
"ACCT","3220","1","Accounting Information Systems","11%","32%","21%","21%","5%","0%","0%","11%","Maiberger, Philip A",""
"ACCT","3220","2","Accounting Information Systems","18%","42%","24%","6%","3%","0%","0%","6%","Maiberger, Philip A",""
"ACCT","3220","3","Accounting Information Systems","10%","31%","31%","10%","7%","0%","0%","10%","Maiberger, Philip A",""
"ACCT","3220","4","Accounting Information Systems","14%","41%","21%","7%","0%","0%","0%","17%","Maiberger, Philip A",""
"ACCT","4040","1","Individual Taxation","64%","21%","11%","0%","0%","0%","0%","4%","Martin, Sarah L",""
"ACCT","4040","2","Individual Taxation","73%","18%","9%","0%","0%","0%","0%","0%","Martin, Sarah L",""
"ACCT","4040","3","Individual Taxation","42%","33%","18%","0%","3%","0%","0%","3%","Martin, Sarah L",""
"ACCT","4040","4","Individual Taxation","6%","52%","23%","10%","6%","0%","0%","3%","Birtwistle, Lisa Wheatley",""
"ACCT","4040","101","Individual Taxation (HON)","86%","14%","0%","0%","0%","0%","0%","0%","Martin, Sarah L","H"
"ACCT","4080","1","Retire & Estate Plan","69%","21%","10%","0%","0%","0%","0%","0%","Hine, John M",""
"ACCT","4100","1","Reporting and Mgmt Control Sys","29%","41%","26%","0%","0%","0%","0%","3%","McPhee, Gregory Patrick",""
"ACCT","4100","2","Reporting and Mgmt Control Sys","38%","38%","18%","6%","0%","0%","0%","0%","McPhee, Gregory Patrick",""
"ACCT","4100","3","Reporting and Mgmt Control Sys","30%","55%","6%","6%","0%","0%","0%","3%","Radtke, Robin R",""
"ACCT","4150","1","Auditing","37%","46%","17%","0%","0%","0%","0%","0%","Harp, Nancy Lee",""
"ACCT","4150","2","Auditing","26%","29%","35%","10%","0%","0%","0%","0%","Harp, Nancy Lee",""
"ACCT","8510","1","Tax Research","53%","47%","0%","0%","0%","0%","0%","0%","Dickens, Thomas L",""
"ACCT","8530","1","Adv Acct Problems","50%","41%","6%","0%","0%","0%","0%","3%","Pearse, Suzanne",""
"ACCT","8530","2","Adv Acct Problems","45%","42%","12%","0%","0%","0%","0%","0%","Pearse, Suzanne",""
"ACCT","8530","3","Adv Acct Problems","43%","33%","17%","0%","7%","0%","0%","0%","Welton, Ralph Edward",""
"ACCT","8550","1","Gov't and Nonprofit Accounting","55%","42%","3%","0%","0%","0%","0%","0%","Barnes, James D",""
"ACCT","8550","2","Gov't and Nonprofit Accounting","55%","45%","0%","0%","0%","0%","0%","0%","Barnes, James D",""
"ACCT","8550","3","Gov't and Nonprofit Accounting","52%","42%","6%","0%","0%","0%","0%","0%","Barnes, James D",""
"ACCT","8630","1","Forensics Analysis","39%","61%","0%","0%","0%","0%","0%","0%","Goodson, Brian Matthew",""
"ACCT","8630","2","Forensics Analysis","55%","42%","3%","0%","0%","0%","0%","0%","Goodson, Brian Matthew",""
"ACCT","8650","1","Tax & Bus Decisions","25%","72%","3%","0%","0%","0%","0%","0%","Jahn, Judson R",""
"ACCT","8650","2","Tax & Bus Decisions","31%","65%","4%","0%","0%","0%","0%","0%","Jahn, Judson R",""
"ACCT","8720","1","Tax of Flowthroughs","21%","56%","18%","0%","3%","0%","0%","3%","Dickens, Thomas L",""
"AGED","1020","1","Freshman Seminar","80%","13%","7%","0%","0%","0%","0%","0%","DiBenedetto, Catherine A",""
"AGED","2000","1","Agr Appl of Ed Tech","50%","43%","7%","0%","0%","0%","0%","0%","Layfield, Kevin D",""
"AGED","2010","1","Intro to Agric Educ","70%","30%","0%","0%","0%","0%","0%","0%","Fravel, Philip M",""
"AGED","3030","1","Ag Ed Mech Tech","31%","56%","13%","0%","0%","0%","0%","0%","Byrd, Alex P",""
"AGED","4010","1","Instr Methods Ag Ed","69%","31%","0%","0%","0%","0%","0%","0%","DiBenedetto, Catherine A",""
"AGED","4030","1","Prin Adult/Ext Ed","90%","5%","5%","0%","0%","0%","0%","0%","Byrd, Alex P",""
"AGED","4230","400","Curriculum","54%","46%","0%","0%","0%","0%","0%","0%","DiBenedetto, Catherine A",""
"AGM","1010","1","Intro Ag Mech & Bus","60%","20%","9%","6%","3%","0%","0%","3%","Massey, Hunter F",""
"AGM","1010","1","Intro Ag Mech & Bus","60%","20%","9%","6%","3%","0%","0%","3%","Massey, Hunter F",""
"AGM","2050","1","Prin of Fabrication","23%","54%","19%","2%","0%","0%","0%","2%","Massey, Hunter F",""
"AGM","2050","1","Prin of Fabrication","23%","54%","19%","2%","0%","0%","0%","2%","Massey, Hunter F",""
"AGM","2060","1","Machinery Mgt","23%","46%","15%","8%","8%","0%","0%","0%","Massey, Hunter F",""
"AGM","2060","1","Machinery Mgt","23%","46%","15%","8%","8%","0%","0%","0%","Massey, Hunter F",""
"AGM","2210","1","Land Measurements","50%","38%","9%","1%","1%","0%","0%","0%","Privette, Charles V",""
"AGM","3010","1","Soil Water Conserv","63%","18%","18%","0%","0%","0%","0%","0%","Sawyer, Calvin B",""
"AGM","4000","1","Seminar in Ag Mech & Business","28%","63%","8%","0%","0%","0%","0%","3%","Chastain, John P",""
"AGM","4020","1","Irrigation System Design","44%","46%","8%","0%","3%","0%","0%","0%","Privette, Charles V",""
"AGM","4050","1","Env Cont in Anim Str","32%","59%","8%","0%","0%","0%","0%","0%","Chastain, John P",""
"AGM","4060","1","Mech & Hydraulic Sys","41%","45%","14%","0%","0%","0%","0%","0%","Koc, Ali Bulent",""
"AGM","4520","1","Mobile Power","69%","31%","0%","0%","0%","0%","0%","0%","Koc, Ali Bulent",""
"AGM","4600","1","Electrical Systems","80%","18%","0%","0%","0%","0%","0%","2%","Han, Young Jo",""
"AGM","4730","4","Ag Safety","53%","29%","18%","0%","0%","0%","0%","0%","Massey, Hunter F",""
"AGM","4730","4","Ag Safety","53%","29%","18%","0%","0%","0%","0%","0%","Massey, Hunter F",""
"AGRB","2020","1","Agricultural Economics","63%","26%","8%","1%","1%","0%","0%","1%","Ureta, Julie Carl Pingol",""
"AGRB","2050","1","Agriculture and Society","14%","27%","37%","17%","3%","0%","0%","1%","Vassalos, Michael",""
"AGRB","3020","1","Economics of Farm Management","12%","20%","31%","27%","4%","0%","0%","5%","Vassalos, Michael",""
"AGRB","3080","1","Quant Agribusiness Analysis I","31%","31%","31%","8%","0%","0%","0%","0%","Willis, David Brian",""
"AGRB","3090","1","Econ of Agricultural Marketing","73%","20%","3%","0%","1%","0%","0%","3%","Bolotova, Yuliya Valentinovna",""
"AGRB","3570","1","Natural Resources Economics","23%","23%","26%","9%","9%","0%","0%","9%","Willis, David Brian",""
"AGRB","4090","1","Commodity Futures Markets","24%","48%","26%","2%","0%","0%","0%","0%","Montgomery, David Baird",""
"AGRB","4120","1","Reg Econ Devel Theory & Policy","32%","32%","14%","20%","2%","0%","0%","0%","De Figueiredo Silva, Felipe",""
"AGRB","4520","1","Agricultural Policy","17%","44%","31%","8%","0%","0%","0%","0%","Vassalos, Michael",""
"AGRB","4900","1","Special Topics","88%","0%","0%","0%","0%","0%","0%","13%","Vassalos, Michael",""
"AGRB","4910","1","Int, Agrib & Comm & Rural Dev","93%","4%","4%","0%","0%","0%","0%","0%","Vassalos, Michael",""
"AL","3440","400","Athletics and Women","88%","8%","0%","0%","4%","0%","0%","0%","Soles, Misty B",""
"AL","3490","400","Principles of Coaching","56%","24%","8%","4%","0%","0%","0%","8%","Cadorette, Deborah Jo",""
"AL","3490","401","Principles of Coaching","54%","38%","8%","0%","0%","0%","0%","0%","Cadorette, Deborah Jo",""
"AL","3490","402","Principles of Coaching","58%","38%","0%","4%","0%","0%","0%","0%","Plumblee, John T",""
"AL","3490","403","Principles of Coaching","52%","24%","8%","4%","4%","0%","0%","8%","Connor, Clyde Keith",""
"AL","3490","404","Principles of Coaching","48%","36%","12%","0%","4%","0%","0%","0%","Plumblee, John T",""
"AL","3490","405","Principles of Coaching","64%","24%","4%","0%","4%","0%","0%","4%","Mezzanotte, Frank P",""
"AL","3490","406","Principles of Coaching","88%","8%","0%","0%","4%","0%","0%","0%","Fry, Edmond H",""
"AL","3490","407","Principles of Coaching","64%","24%","8%","0%","0%","0%","0%","4%","Cadorette, Deborah Jo",""
"AL","3490","408","Principles of Coaching","91%","9%","0%","0%","0%","0%","0%","0%","Whitrow, Nicholas Philip Edward",""
"AL","3490","409","Principles of Coaching","88%","8%","0%","0%","0%","0%","0%","4%","Whitrow, Nicholas Philip Edward",""
"AL","3490","410","Principles of Coaching","92%","4%","4%","0%","0%","0%","0%","0%","Whitrow, Nicholas Philip Edward",""
"AL","3490","411","Principles of Coaching","50%","29%","17%","0%","0%","0%","0%","4%","Neuder, Joel P",""
"AL","3500","400","Sci Basis I/Ex Phy","12%","54%","12%","19%","0%","0%","0%","4%","Godfrey, Michael G",""
"AL","3500","401","Sci Basis I/Ex Phy","32%","9%","23%","18%","9%","0%","0%","9%","Godfrey, Michael G",""
"AL","3530","400","Athletic Injuries","32%","20%","16%","12%","12%","0%","0%","8%","Colbert, Isaac Sean",""
"AL","3530","401","Athletic Injuries","26%","30%","30%","13%","0%","0%","0%","0%","Colbert, Isaac Sean",""
"AL","3600","400","Hgh Sch Athl Ethical/Legal Iss","29%","46%","8%","17%","0%","0%","0%","0%","Connor, Clyde Keith",""
"AL","3610","400","Admin/Org of Athletic Programs","68%","28%","4%","0%","0%","0%","0%","0%","Oates, Henry C.",""
"AL","3610","401","Admin/Org of Athletic Programs","84%","16%","0%","0%","0%","0%","0%","0%","Oates, Henry C.",""
"AL","3620","400","Psychology of Coaching","31%","12%","35%","12%","4%","0%","0%","8%","Carter, Natalie Anne",""
"AL","3620","401","Psychology of Coaching","32%","36%","20%","4%","0%","0%","0%","8%","Carter, Natalie Anne",""
"AL","3620","402","Psychology of Coaching","33%","17%","38%","8%","4%","0%","0%","0%","Carter, Natalie Anne",""
"AL","3740","400","Coaching Football","77%","9%","5%","5%","0%","0%","0%","5%","Fry, Edmond H",""
"AL","3740","401","Coaching Football","50%","23%","5%","9%","5%","0%","0%","9%","Fry, Edmond H",""
"AL","3760","400","Coaching Strength/Conditioning","64%","16%","12%","4%","0%","0%","0%","4%","Fry, Edmond H",""
"AL","3760","401","Coaching Strength/Conditioning","68%","8%","8%","0%","4%","0%","0%","12%","Fry, Edmond H",""
"AL","4380","402","HS Athletic Recruiting","57%","14%","11%","0%","4%","0%","0%","14%","Cadorette, Deborah Jo",""
"AL","4380","403","Media Relations in AL","74%","7%","15%","0%","4%","0%","0%","0%","Soles, Misty B",""
"AL","4380","408","Officiating in AL","63%","17%","4%","4%","0%","0%","0%","13%","Connor, Clyde Keith",""
"AL","4380","409","Coaching Baseball/Softball","58%","17%","13%","4%","0%","0%","0%","8%","Cadorette, Deborah Jo",""
"AL","4490","400","Athlete Beliefs","42%","42%","13%","0%","0%","0%","0%","4%","Cadorette, Deborah Jo",""
"AL","8380","400","Compliance in Intercoll Athl","80%","5%","0%","0%","5%","0%","0%","10%","Godfrey, Michael G",""
"AL","8380","401","Compliance in Colleg Athl","75%","25%","0%","0%","0%","0%","0%","0%","Godfrey, Michael G",""
"AL","8440","400","Surv of Res Mthds in Athletics","85%","10%","5%","0%","0%","0%","0%","0%","Godfrey, Michael G",""
"AL","8440","401","Surv of Res Mthds in Athletics","78%","11%","11%","0%","0%","0%","0%","0%","Godfrey, Michael G",""
"AL","8440","402","Surv of Res Mthds in Athletics","82%","9%","9%","0%","0%","0%","0%","0%","Godfrey, Michael G",""
"AL","8490","400","Athletic Leadership Dev","90%","5%","5%","0%","0%","0%","0%","0%","Magette, Janna Theresa",""
"AL","8490","401","Athletic Leadership Dev","76%","10%","10%","0%","0%","0%","0%","5%","Magette, Janna Theresa",""
"AL","8490","402","Athletic Leadership Dev","67%","29%","5%","0%","0%","0%","0%","0%","Magette, Janna Theresa",""
"AL","8500","400","Principles Strength and Condit","57%","33%","10%","0%","0%","0%","0%","0%","Godfrey, Michael G",""
"AL","8500","401","Principles Strength and Condit","59%","36%","5%","0%","0%","0%","0%","0%","Godfrey, Michael G",""
"AL","8650","400","Mkt and Comm Respon Interc Ath","90%","10%","0%","0%","0%","0%","0%","0%","Soles, Misty B",""
"AL","8650","402","Mkt and Comm Respon Interc Ath","78%","22%","0%","0%","0%","0%","0%","0%","Soles, Misty B",""
"AMFG","6800","864","Practicum in Adv Manufacturing","63%","38%","0%","0%","0%","0%","0%","0%","Summers, Joshua D.",""
"ANTH","2010","1","Introduction to Anthropology","49%","31%","12%","2%","0%","0%","0%","6%","Wu, Yi",""
"ANTH","2010","2","Introduction to Anthropology","42%","29%","18%","0%","2%","0%","0%","9%","Rapaport, Lisa G",""
"ANTH","2010","3","Introduction to Anthropology","30%","60%","9%","0%","0%","0%","0%","2%","Markus, David M",""
"ANTH","2010","4","Introduction to Anthropology","36%","54%","7%","1%","2%","0%","0%","2%","Markus, David M",""
"ANTH","2010","5","Introduction to Anthropology","41%","39%","13%","4%","0%","0%","0%","2%","Wu, Yi",""
"ANTH","3320","1","World Archaeology","47%","42%","5%","5%","0%","0%","0%","0%","Markus, David M",""
"ANTH","3510","1","Biological Anthropology","48%","43%","5%","0%","5%","0%","0%","0%","Rapaport, Lisa G",""
"ANTH","3530","1","Forensic Anthropology","56%","39%","0%","0%","0%","0%","0%","6%","Weisensee, Katherine E",""
"ANTH","3710","1","Language and Culture","44%","44%","0%","11%","0%","0%","0%","0%","Zhang, Yanhua",""
"ANTH","4230","1","Women in the Developing World","83%","17%","0%","0%","0%","0%","0%","0%","Vogel, Melissa A",""
"ANTH","4990","1","Religion, Magic, Witchcraft","73%","20%","0%","0%","7%","0%","0%","0%","Coffman, Carolyn Candace",""
"ARCH","1010","1","Introduction to Architecture","44%","35%","8%","3%","3%","0%","0%","7%","Hambright-Belue, Sallie Rebecca",""
"ARCH","2040","1","Hist of Modern Arch","42%","48%","7%","2%","0%","0%","0%","1%","Mihalache, Andreea M",""
"ARCH","2510","1","Arch Foundations I","44%","44%","13%","0%","0%","0%","0%","0%","Brown, Timothy Burl",""
"ARCH","2510","2","Arch Foundations I","53%","35%","12%","0%","0%","0%","0%","0%","Silance, Robert T",""
"ARCH","2510","3","Arch Foundations I","39%","50%","11%","0%","0%","0%","0%","0%","Albright, Dustin Graham",""
"ARCH","2510","5","Arch Foundations I","28%","28%","39%","6%","0%","0%","0%","0%","Pass, Brandon George",""
"ARCH","2510","6","Arch Foundations I","28%","39%","28%","6%","0%","0%","0%","0%","Melnyk, Virginia Ellyn",""
"ARCH","2700","1","Structures I","59%","34%","3%","0%","3%","0%","0%","0%","Albright, Dustin Graham",""
"ARCH","3500","2","Intro to Urban Contexts","38%","38%","25%","0%","0%","0%","0%","0%","Wilkerson, Julie Poe",""
"ARCH","3500","3","Intro to Urban Contexts","38%","50%","13%","0%","0%","0%","0%","0%","Lee, David M",""
"ARCH","3500","4","Intro to Urban Contexts","88%","13%","0%","0%","0%","0%","0%","0%","Mendez, Clarissa A",""
"ARCH","3500","5","Intro to Urban Contexts","47%","53%","0%","0%","0%","0%","0%","0%","Terim, Berrin",""
"ARCH","3510","1","Studio Clemson","75%","17%","0%","0%","0%","0%","0%","8%","Ersoy, Ufuk",""
"ARCH","3510","3","Studio Clemson","82%","18%","0%","0%","0%","0%","0%","0%","Kleiss, Michael Carlos Barrios",""
"ARCH","3530","1","Studio Genoa","85%","15%","0%","0%","0%","0%","0%","0%","Houayek, Henrique M",""
"ARCH","3540","1","Studio Barcelona","75%","25%","0%","0%","0%","0%","0%","0%","Roldan, Miguel",""
"ARCH","4010","1","Architectural Portfolio","50%","43%","7%","0%","0%","0%","0%","0%","Melnyk, Virginia Ellyn",""
"ARCH","4010","2","Architectural Portfolio","74%","22%","4%","0%","0%","0%","0%","0%","Mendez, Clarissa A",""
"ARCH","4010","3","Architectural Portfolio","57%","38%","5%","0%","0%","0%","0%","0%","Schafer, George J",""
"ARCH","4010","4","Architectural Portfolio","44%","33%","17%","0%","6%","0%","0%","0%","Pass, Brandon George",""
"ARCH","4120","1","History Research","79%","21%","0%","0%","0%","0%","0%","0%","Houayek, Henrique M",""
"ARCH","4140","1","Design Seminar","85%","15%","0%","0%","0%","0%","0%","0%","Houayek, Henrique M",""
"ARCH","4520","1","Synthesis Studio","56%","44%","0%","0%","0%","0%","0%","0%","Harding, Daniel Nevin",""
"ARCH","4710","1","Arch Hist of Place","15%","85%","0%","0%","0%","0%","0%","0%","White, Jason Matthew",""
"ARCH","6850","1","H/Th: Arch+Health","67%","33%","0%","0%","0%","0%","0%","0%","Battisto, Dina G.",""
"ARCH","8100","1","Visualization I","88%","6%","0%","0%","0%","0%","0%","6%","Mihalache, Andreea M",""
"ARCH","8200","1","Bldg Design & Constr","50%","42%","8%","0%","0%","0%","0%","0%","Wallace-Babcock, Tori Elizabeth",""
"ARCH","8210","1","Research Methods","74%","26%","0%","0%","0%","0%","0%","0%","Battisto, Dina G.",""
"ARCH","8410","1","Arch Studio I","60%","0%","20%","0%","0%","0%","0%","20%","Laurence, Peter L",""
"ARCH","8510","3","Design Studio III","20%","60%","20%","0%","0%","0%","0%","0%","Schafer, George J",""
"ARCH","8600","1","History/Theory I","50%","38%","0%","0%","0%","0%","0%","13%","Terim, Berrin",""
"ARCH","8720","1","Production & Assemb","25%","75%","0%","0%","0%","0%","0%","0%","Harding, Daniel Nevin",""
"ARCH","8970","1","A+H Studio: Hospital","67%","33%","0%","0%","0%","0%","0%","0%","Allison, David J",""
"ART","1050","1","Foundation Drawing I","61%","28%","0%","0%","0%","0%","0%","11%","Ayers, Denise Elizabeth",""
"ART","1510","1","Foundations Art I","61%","33%","0%","0%","6%","0%","0%","0%","De Cuba, Rachel Lynn",""
"ART","1520","1","Foundations Art II","40%","30%","0%","10%","10%","0%","0%","10%","Bare, Daniel L",""
"ART","2070","1","Beginning Painting","59%","29%","0%","0%","0%","0%","0%","12%","Shuford, Serra Raven",""
"ART","2090","1","Beginning Sculpture","75%","17%","0%","0%","8%","0%","0%","0%","Fowler, Jordan Alexander",""
"ART","2100","1","Art Appreciation","84%","11%","0%","0%","0%","0%","0%","5%","Massey, Dustin L",""
"ART","2100","2","Art Appreciation","95%","5%","0%","0%","0%","0%","0%","0%","Massey, Dustin L",""
"ART","2100","3","Art Appreciation","89%","5%","0%","0%","5%","0%","0%","0%","Brosseau, Mark Norman",""
"ART","2100","5","Art Appreciation","95%","5%","0%","0%","0%","0%","0%","0%","Manson V, Joseph Richard",""
"ART","2100","6","Art Appreciation","63%","26%","11%","0%","0%","0%","0%","0%","Williams, Annamarie Elizabeth",""
"ART","2130","1","Begin Photography","85%","0%","0%","0%","8%","0%","0%","8%","Floyd, Haley Brooke",""
"ART","2170","1","Beginning Ceramics","23%","54%","8%","0%","8%","0%","0%","8%","Mays, Sara",""
"AS","1090","2","Air Force Today I","82%","9%","0%","0%","0%","0%","0%","9%","Blanton, Joseph Michael",""
"AS","1090","3","Air Force Today I","81%","13%","6%","0%","0%","0%","0%","0%","Blanton, Joseph Michael",""
"AS","3090","1","A F Leadership Mgt I","93%","7%","0%","0%","0%","0%","0%","0%","Miller, Rachelle Marie",""
"AS","3090","2","A F Leadership Mgt I","84%","16%","0%","0%","0%","0%","0%","0%","Miller, Rachelle Marie",""
"AS","4090","1","Nat Sec Policy I","85%","15%","0%","0%","0%","0%","0%","0%","Balts, Keith W",""
"AS","4090","2","Nat Sec Policy I","86%","14%","0%","0%","0%","0%","0%","0%","Balts, Keith W",""
"ASL","1010","2","Am Sign Lang I","89%","11%","0%","0%","0%","0%","0%","0%","Hurdich, Jason",""
"ASL","1010","5","Am Sign Lang I","79%","16%","5%","0%","0%","0%","0%","0%","Hurdich, Jason",""
"ASL","1020","1","Am Sign Lang I","89%","11%","0%","0%","0%","0%","0%","0%","Clements, William Ryals",""
"ASL","1020","2","Am Sign Lang I","83%","11%","0%","0%","0%","0%","0%","6%","Clements, William Ryals",""
"ASL","1020","3","Am Sign Lang I","50%","44%","6%","0%","0%","0%","0%","0%","Hurdich, Jason",""
"ASL","2010","1","Am Sign Lang II","53%","32%","11%","0%","0%","0%","0%","5%","Misener Dunn, Kim Marlene",""
"ASL","2010","2","Am Sign Lang II","72%","17%","11%","0%","0%","0%","0%","0%","Misener Dunn, Kim Marlene",""
"ASL","2010","3","Am Sign Lang II","80%","15%","0%","5%","0%","0%","0%","0%","Misener Dunn, Kim Marlene",""
"ASL","2020","1","Am Sign Lang II","63%","16%","21%","0%","0%","0%","0%","0%","Hurdich, Jason",""
"ASL","3010","1","Advanced A S L I","53%","21%","5%","0%","0%","0%","0%","21%","Misener Dunn, Kim Marlene",""
"ASL","3150","1","Survey Interpreting","10%","70%","0%","10%","0%","0%","0%","10%","Fitzmaurice, Stephen Benjamin",""
