Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
"ACCT","2010","15","Financial Accounting Conc","23%","34%","31%","3%","0%","0%","0%","9%","0%","0%","0%","0%","Hollingsworth Carl W",""
"ACCT","2010","400","Financial Accounting Conc","9%","28%","36%","12%","5%","0%","0%","10%","0%","0%","0%","0%","McMillan Jeffrey J",""
"ACCT","2010","401","Financial Accounting Conc","26%","21%","26%","11%","9%","0%","0%","7%","0%","0%","0%","0%","McCorkle Emily",""
"ACCT","2020","1","Managerial Accounting Co","38%","43%","18%","3%","0%","0%","0%","0%","0%","0%","0%","0%","Radtke Robin R",""
"ACCT","2020","2","Managerial Accounting Co","40%","28%","18%","3%","3%","0%","0%","10%","0%","0%","0%","0%","Radtke Robin R",""
"ACCT","2020","3","Managerial Accounting Co","21%","13%","30%","11%","9%","0%","0%","15%","0%","0%","0%","0%","Carver Brian Todd",""
"ACCT","2020","4","Managerial Accounting Co","12%","29%","19%","12%","10%","0%","0%","17%","0%","0%","0%","0%","Carver Brian Todd",""
"ACCT","2020","400","Managerial Accounting Co","23%","49%","23%","0%","0%","0%","0%","5%","0%","0%","0%","0%","Radtke Robin R",""
"ACCT","2020","401","Managerial Accounting Co","28%","33%","17%","10%","5%","0%","0%","7%","0%","0%","0%","0%","McCorkle Emily",""
"ACCT","2020","402","Managerial Accounting Co","33%","22%","28%","5%","3%","0%","0%","9%","0%","0%","0%","0%","McCorkle Emily",""
"ACCT","2020","403","Managerial Accounting Co","10%","40%","15%","20%","8%","0%","0%","8%","0%","0%","0%","0%","McCorkle Emily",""
"ACCT","2020","404","Managerial Accounting Co","10%","28%","26%","13%","8%","0%","0%","15%","0%","0%","0%","0%","McCorkle Emily",""
"ACCT","3030","1","Cost Accounting","38%","35%","23%","3%","3%","0%","0%","0%","0%","0%","0%","0%","Way Daniel Thomas",""
"ACCT","3030","2","Cost Accounting","25%","33%","35%","3%","3%","0%","0%","3%","0%","0%","0%","0%","Way Daniel Thomas",""
"ACCT","3030","3","Cost Accounting","26%","32%","32%","5%","3%","0%","0%","3%","0%","0%","0%","0%","Garrett Jace B",""
"ACCT","3030","4","Cost Accounting","16%","42%","26%","0%","5%","0%","0%","11%","0%","0%","0%","0%","Garrett Jace B",""
"ACCT","3030","5","Cost Accounting","77%","13%","8%","3%","0%","0%","0%","0%","0%","0%","0%","0%","Martin Sarah L",""
"ACCT","3110","1","Intermediate Financial Acc","17%","34%","31%","3%","7%","0%","0%","7%","0%","0%","0%","0%","Donnelly Amy",""
"ACCT","3110","2","Intermediate Financial Acc","30%","30%","30%","4%","7%","0%","0%","0%","0%","0%","0%","0%","Donnelly Amy",""
"ACCT","3110","3","Intermediate Financial Acc","31%","38%","23%","4%","0%","0%","0%","4%","0%","0%","0%","0%","Philo Annieka C",""
"ACCT","3110","4","Intermediate Financial Acc","26%","35%","23%","6%","6%","0%","0%","3%","0%","0%","0%","0%","Philo Annieka C",""
"ACCT","3110","5","Intermediate Financial Acc","4%","25%","36%","11%","18%","0%","0%","7%","0%","0%","0%","0%","Madray J Russell",""
"ACCT","3110","6","Intermediate Financial Acc","18%","42%","18%","6%","9%","0%","0%","6%","0%","0%","0%","0%","Madray J Russell",""
"ACCT","3110","7","Intermediate Financial Acc","19%","41%","28%","0%","0%","0%","0%","9%","3%","0%","0%","0%","Madray J Russell",""
"ACCT","3110","8","Intermediate Financial Acc","23%","42%","10%","19%","3%","0%","0%","3%","0%","0%","0%","0%","Madray J Russell",""
"ACCT","3120","1","Intermediate Financial Acc","10%","41%","31%","5%","5%","0%","0%","8%","0%","0%","0%","0%","Vinson Jeremy",""
"ACCT","3120","2","Intermediate Financial Acc","33%","44%","17%","0%","3%","0%","0%","3%","0%","0%","0%","0%","Vinson Jeremy",""
"ACCT","3120","3","Intermediate Financial Acc","14%","23%","31%","14%","11%","0%","0%","6%","0%","0%","0%","0%","Knause Terry Daniel",""
"ACCT","3120","4","Intermediate Financial Acc","17%","40%","30%","7%","0%","0%","0%","7%","0%","0%","0%","0%","Knause Terry Daniel",""
"ACCT","3120","5","Intermediate Financial Acc","18%","36%","30%","6%","9%","0%","0%","0%","0%","0%","0%","0%","Knause Terry Daniel",""
"ACCT","3120","6","Intermediate Financial Acc","22%","42%","17%","6%","14%","0%","0%","0%","0%","0%","0%","0%","Knause Terry Daniel",""
"ACCT","3130","1","Analytics for Acct Dec Mak","69%","29%","3%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Barnes James D",""
"ACCT","3130","2","Analytics for Acct Dec Mak","89%","9%","0%","3%","0%","0%","0%","0%","0%","0%","0%","0%","Barnes James D",""
"ACCT","3130","3","Analytics for Acct Dec Mak","27%","38%","15%","15%","4%","0%","0%","0%","0%","0%","0%","0%","Davis-Culler Phebian",""
"ACCT","3130","4","Analytics for Acct Dec Mak","25%","39%","25%","0%","11%","0%","0%","0%","0%","0%","0%","0%","Davis-Culler Phebian",""
"ACCT","3130","5","Analytics for Acct Dec Mak","25%","30%","30%","10%","5%","0%","0%","0%","0%","0%","0%","0%","Davis-Culler Phebian",""
"ACCT","3220","1","Accounting Information Sy","15%","19%","42%","8%","12%","0%","0%","4%","0%","0%","0%","0%","Maiberger Philip A",""
"ACCT","3220","2","Accounting Information Sy","27%","31%","35%","0%","4%","0%","0%","4%","0%","0%","0%","0%","Maiberger Philip A",""
"ACCT","3220","3","Accounting Information Sy","13%","30%","23%","17%","7%","0%","0%","10%","0%","0%","0%","0%","Maiberger Philip A",""
"ACCT","3220","4","Accounting Information Sy","11%","29%","25%","11%","4%","0%","0%","21%","0%","0%","0%","0%","Maiberger Philip A",""
"ACCT","4040","1","Individual Taxation","61%","32%","4%","0%","0%","0%","0%","4%","0%","0%","0%","0%","Martin Sarah L",""
"ACCT","4040","2","Individual Taxation","46%","29%","23%","0%","3%","0%","0%","0%","0%","0%","0%","0%","Martin Sarah L",""
"ACCT","4040","3","Individual Taxation","47%","41%","9%","0%","3%","0%","0%","0%","0%","0%","0%","0%","Birtwistle Lisa",""
"ACCT","4040","4","Individual Taxation","49%","29%","17%","3%","3%","0%","0%","0%","0%","0%","0%","0%","Martin Sarah L",""
"ACCT","4080","1","Retire & Estate Plan","28%","50%","16%","3%","0%","0%","0%","3%","0%","0%","0%","0%","Hine John M",""
"ACCT","4100","2","Reporting and Mgmt Contr","24%","39%","33%","3%","0%","0%","0%","0%","0%","0%","0%","0%","McPhee Gregory",""
"ACCT","4100","3","Reporting and Mgmt Contr","33%","45%","18%","3%","0%","0%","0%","0%","0%","0%","0%","0%","McPhee Gregory",""
"ACCT","4150","1","Auditing","28%","38%","19%","13%","3%","0%","0%","0%","0%","0%","0%","0%","Harp Nancy Lee",""
"ACCT","4150","2","Auditing","38%","46%","13%","4%","0%","0%","0%","0%","0%","0%","0%","0%","Harp Nancy Lee",""
"ACCT","8510","1","Tax Research","41%","53%","3%","0%","0%","0%","0%","3%","0%","0%","0%","0%","Dickens Thomas L",""
"ACCT","8530","1","Adv Acct Problems","74%","15%","4%","0%","0%","0%","0%","7%","0%","0%","0%","0%","Pearse Suzanne",""
"ACCT","8530","2","Adv Acct Problems","74%","23%","3%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Pearse Suzanne",""
"ACCT","8530","3","Adv Acct Problems","45%","45%","3%","0%","3%","0%","0%","3%","0%","0%","0%","0%","Welton Ralph Edward",""
"ACCT","8570","1","CPA Exam Review-B","0%","0%","0%","0%","0%","96%","3%","1%","0%","0%","0%","0%","Barnes James D",""
"ACCT","8630","1","Forensics Analysis","48%","45%","3%","0%","0%","0%","0%","3%","0%","0%","0%","0%","Goodson Brian",""
"ACCT","8630","2","Forensics Analysis","35%","62%","3%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Goodson Brian",""
"ACCT","8650","1","Tax & Bus Decisions","55%","39%","6%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Jahn Judson R",""
"ACCT","8650","2","Tax & Bus Decisions","41%","56%","4%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Jahn Judson R",""
"ACCT","8680","1","Advanced Accounting Anal","47%","47%","6%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Cussatt Marc A",""
"ACCT","8680","2","Advanced Accounting Anal","59%","34%","3%","0%","0%","0%","0%","3%","0%","0%","0%","0%","Cussatt Marc A",""
"ACCT","8680","3","Advanced Accounting Anal","39%","55%","3%","0%","0%","0%","0%","3%","0%","0%","0%","0%","Cussatt Marc A",""
"ACCT","8720","1","Tax of Flowthroughs","25%","44%","28%","0%","0%","0%","0%","3%","0%","0%","0%","0%","Dickens Thomas L",""
"AGED","1020","1","Freshman Seminar","58%","33%","0%","8%","0%","0%","0%","0%","0%","0%","0%","0%","DiBenedetto",""
"AGED","2000","1","Agr Appl of Ed Tech","62%","0%","8%","0%","0%","0%","0%","15%","###","0%","0%","0%","Layfield Kevin D",""
"AGED","2010","1","Intro to Agric Educ","81%","19%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Fravel Philip M",""
"AGED","2040","1","App Ag Calculations","29%","57%","0%","7%","7%","0%","0%","0%","0%","0%","0%","0%","Fravel Philip M",""
"AGED","3030","1","Ag Ed Mech Tech","83%","17%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Eck Christopher J",""
"AGED","8100","3","Clin Ag Ed Research","0%","0%","0%","0%","0%","100%","0%","0%","0%","0%","0%","0%","Layfield Kevin D",""
"AGM","1010","1","Intro Ag Mech & Bus","47%","34%","11%","3%","3%","0%","0%","3%","0%","0%","0%","0%","Massey Hunter F",""
"AGM","2050","1","Prin of Fabrication","22%","51%","22%","4%","0%","0%","0%","2%","0%","0%","0%","0%","Massey Hunter F",""
"AGM","2210","1","Land Measurements","45%","31%","9%","4%","7%","0%","0%","4%","0%","0%","0%","0%","Teddy Brennan",""
"AGM","3010","1","Soil Water Conserv","45%","29%","22%","0%","2%","0%","0%","2%","0%","0%","0%","0%","Sawyer Calvin B",""
"AGM","4000","1","Seminar in Ag Mech & Busi","13%","29%","32%","24%","3%","0%","0%","0%","0%","0%","0%","0%","Chastain John P",""
"AGM","4020","1","Irrigation System Design","24%","24%","24%","10%","19%","0%","0%","0%","0%","0%","0%","0%","Privette Charles V",""
"AGM","4050","1","Env Cont in Anim Str","5%","27%","35%","22%","11%","0%","0%","0%","0%","0%","0%","0%","Chastain John P",""
"AGM","4060","1","Mech & Hydraulic Sys","39%","48%","11%","0%","2%","0%","0%","0%","0%","0%","0%","0%","Koc Ali Bulent",""
"AGM","4600","1","Electrical Systems","69%","29%","2%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Privette Charles V",""
"AGM","4730","4","Ag Safety","61%","22%","11%","6%","0%","0%","0%","0%","0%","0%","0%","0%","Massey Hunter F",""
"AGRB","2020","1","Agricultural Economics","70%","17%","3%","3%","5%","0%","0%","1%","0%","0%","0%","0%","Ureta Julie Carl Pingol",""
"AGRB","2050","1","Agriculture and Society","16%","16%","22%","31%","11%","0%","0%","4%","0%","0%","0%","0%","Vassalos Michael",""
"AGRB","3020","1","Economics of Farm Manag","16%","13%","15%","28%","8%","0%","0%","20%","0%","0%","0%","0%","Vassalos Michael",""
"AGRB","3080","2","Quant Agribusiness Analysi","12%","21%","14%","33%","10%","0%","0%","10%","0%","0%","0%","0%","Zhang Lisha",""
"AGRB","3570","1","Natural Resources Econom","20%","11%","23%","18%","11%","0%","0%","16%","0%","0%","0%","0%","Willis David Brian",""
"AGRB","4120","1","Reg Econ Devel Theory & P","30%","22%","11%","16%","8%","0%","0%","8%","5%","0%","0%","0%","De Figueiredo Silva",""
"AGRB","4520","1","Agricultural Policy","14%","21%","19%","28%","14%","0%","0%","5%","0%","0%","0%","0%","Vassalos Michael",""
"AGRB","4600","2","Agricultural Finance","18%","33%","23%","18%","3%","0%","0%","3%","5%","0%","0%","0%","Zhang Lisha",""
"AGRB","4910","1","Int, Agrib & Comm & Rural","89%","11%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Vassalos Michael",""
"AL","3490","400","Principles of Coaching","64%","24%","12%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Cadorette Deborah",""
"AL","3490","401","Principles of Coaching","48%","32%","8%","0%","8%","0%","0%","4%","0%","0%","0%","0%","Cadorette Deborah",""
"AL","3490","402","Principles of Coaching","52%","32%","12%","0%","4%","0%","0%","0%","0%","0%","0%","0%","Cadorette Deborah",""
"AL","3490","403","Principles of Coaching","65%","17%","13%","4%","0%","0%","0%","0%","0%","0%","0%","0%","Cadorette Deborah",""
"AL","3490","405","Principles of Coaching","73%","20%","0%","7%","0%","0%","0%","0%","0%","0%","0%","0%","Mezzanotte Frank P",""
"AL","3490","406","Principles of Coaching","80%","20%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Mezzanotte Frank P",""
"AL","3490","408","Principles of Coaching","48%","26%","17%","4%","0%","0%","0%","0%","4%","0%","0%","0%","Plumblee John T",""
"AL","3490","409","Principles of Coaching","88%","4%","8%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Fry Edmond H",""
"AL","3490","410","Principles of Coaching","59%","18%","14%","5%","0%","0%","0%","5%","0%","0%","0%","0%","Neuder Joel P",""
"AL","3490","411","Principles of Coaching","83%","17%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Whitrow Nicholas",""
"AL","3500","400","Sci Basis I/Ex Phy","27%","38%","23%","4%","0%","0%","0%","8%","0%","0%","0%","0%","Godfrey Michael G",""
"AL","3500","401","Sci Basis I/Ex Phy","44%","32%","20%","4%","0%","0%","0%","0%","0%","0%","0%","0%","Colbert Isaac Sean",""
"AL","3530","400","Athletic Injuries","63%","26%","11%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Colbert Isaac Sean",""
"AL","3530","401","Athletic Injuries","80%","12%","4%","4%","0%","0%","0%","0%","0%","0%","0%","0%","Colbert Isaac Sean",""
"AL","3600","400","Hgh Sch Athl Ethical/Legal","37%","53%","11%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Connor Clyde Keith",""
"AL","3610","400","Admin/Org of Athletic Pro","76%","20%","4%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Oates Henry C.",""
"AL","3610","401","Admin/Org of Athletic Pro","76%","20%","4%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Oates Henry C.",""
"AL","3610","402","Admin/Org of Athletic Pro","35%","35%","20%","0%","10%","0%","0%","0%","0%","0%","0%","0%","Plumblee John T",""
"AL","3620","400","Psychology of Coaching","33%","42%","17%","4%","4%","0%","0%","0%","0%","0%","0%","0%","Carter Natalie Anne",""
"AL","3620","401","Psychology of Coaching","28%","36%","24%","12%","0%","0%","0%","0%","0%","0%","0%","0%","Carter Natalie Anne",""
"AL","3620","402","Psychology of Coaching","32%","24%","32%","8%","4%","0%","0%","0%","0%","0%","0%","0%","Carter Natalie Anne",""
"AL","3740","400","Coaching Football","52%","16%","16%","4%","4%","0%","0%","8%","0%","0%","0%","0%","Fry Edmond H",""
"AL","3740","401","Coaching Football","45%","18%","18%","9%","5%","0%","0%","5%","0%","0%","0%","0%","Fry Edmond H",""
"AL","3760","400","Coaching Strength/Conditi","67%","13%","8%","0%","8%","0%","0%","4%","0%","0%","0%","0%","Fry Edmond H",""
"AL","3760","401","Coaching Strength/Conditi","68%","20%","4%","0%","4%","0%","0%","4%","0%","0%","0%","0%","Fry Edmond H",""
"AL","4000","400","Athletic Leadership Interns","0%","0%","0%","0%","0%","100%","0%","0%","0%","0%","0%","0%","Cadorette Deborah",""
"AL","4380","402","HS Athletic Recruiting","61%","13%","17%","4%","4%","0%","0%","0%","0%","0%","0%","0%","Hickey Justin M",""
"AL","4380","404","Emerging Issues and Trend","88%","0%","0%","0%","0%","0%","0%","0%","###","0%","0%","0%","Soles Misty B",""
"AL","4380","408","Officiating in AL","75%","20%","0%","5%","0%","0%","0%","0%","0%","0%","0%","0%","Connor Clyde Keith",""
"AL","4380","409","Coaching Baseball/Softball","71%","6%","24%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Hickey Justin M",""
"AL","8440","401","Surv of Res Mthds in Athle","90%","10%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Godfrey Michael G",""
"AL","8440","402","Surv of Res Mthds in Athle","75%","8%","8%","0%","8%","0%","0%","0%","0%","0%","0%","0%","Godfrey Michael G",""
"AL","8490","401","Athletic Leadership Dev","75%","25%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Magette Janna",""
"AL","8490","402","Athletic Leadership Dev","60%","25%","0%","0%","15%","0%","0%","0%","0%","0%","0%","0%","Magette Janna",""
"AL","8500","400","Principles Strength and Co","73%","27%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Godfrey Michael G",""
"AL","8500","401","Principles Strength and Co","58%","37%","0%","0%","5%","0%","0%","0%","0%","0%","0%","0%","Godfrey Michael G",""
"AL","8630","400","Socio Dynam in Intercol At","55%","27%","0%","0%","9%","0%","0%","9%","0%","0%","0%","0%","Godfrey Michael G",""
"ANTH","2010","1","Introduction to Anthropol","35%","34%","17%","8%","3%","0%","0%","4%","0%","0%","0%","0%","Wu Yi",""
"ANTH","2010","2","Introduction to Anthropol","22%","48%","18%","5%","4%","0%","0%","4%","0%","0%","0%","0%","Wu Yi",""
"ANTH","2010","3","Introduction to Anthropol","6%","16%","24%","4%","13%","0%","0%","37%","0%","0%","0%","0%","Coggeshall John M",""
"ANTH","2010","4","Introduction to Anthropol","58%","30%","4%","0%","2%","0%","0%","4%","2%","0%","0%","0%","Markus David M",""
"ANTH","2010","5","Introduction to Anthropol","67%","23%","4%","0%","4%","0%","0%","2%","0%","0%","0%","0%","Markus David M",""
"ANTH","2010","6","Introduction to Anthropol","4%","34%","20%","11%","4%","0%","0%","27%","0%","0%","0%","0%","Coggeshall John M",""
"ANTH","2010","7","Introduction to Anthropol","62%","35%","4%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Markus David M",""
"ANTH","3010","1","Cultural Anthropology","14%","32%","39%","7%","4%","0%","0%","4%","0%","0%","0%","0%","Coggeshall John M",""
"ANTH","3200","1","North American Indian Cul","13%","27%","20%","13%","20%","0%","0%","7%","0%","0%","0%","0%","Coggeshall John M",""
"ANTH","3320","1","World Archaeology","40%","44%","8%","0%","4%","0%","0%","4%","0%","0%","0%","0%","Markus David M",""
"ANTH","3510","1","Biological Anthropology","66%","13%","13%","0%","6%","0%","0%","3%","0%","0%","0%","0%","Weisensee Katherine",""
"ANTH","4280","1","Law, Culture and Society","57%","21%","0%","0%","14%","0%","0%","7%","0%","0%","0%","0%","Wu Yi",""
"ARCH","1010","1","Introduction to Architectur","42%","35%","3%","2%","4%","0%","0%","7%","7%","0%","0%","0%","Hambright-Belue",""
"ARCH","2040","1","Hist of Modern Arch","56%","31%","11%","1%","0%","0%","0%","0%","0%","0%","0%","0%","Mihalache Andreea",""
"ARCH","2510","1","Arch Foundations I","86%","7%","7%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Choma Joseph",""
"ARCH","2510","2","Arch Foundations I","43%","36%","21%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Pass Brandon George",""
"ARCH","2510","3","Arch Foundations I","43%","43%","14%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Melnyk Virginia Ellyn",""
"ARCH","2510","4","Arch Foundations I","62%","23%","8%","0%","8%","0%","0%","0%","0%","0%","0%","0%","Jefferies Byron B",""
"ARCH","2510","5","Arch Foundations I","50%","50%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Roberts Kendall",""
"ARCH","2510","6","Arch Foundations I","46%","31%","8%","8%","0%","0%","0%","8%","0%","0%","0%","0%","Sutherland Timothy",""
"ARCH","2700","1","Structures I","87%","13%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Fulmer Grace N",""
"ARCH","2710","1","Structures II","48%","33%","7%","0%","4%","0%","0%","0%","7%","0%","0%","0%","Trick Amy Christine",""
"ARCH","3500","1","Intro to Urban Contexts","47%","47%","0%","0%","0%","0%","0%","6%","0%","0%","0%","0%","Hecker Douglas A.",""
"ARCH","3500","2","Intro to Urban Contexts","75%","25%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Terim Berrin",""
"ARCH","3500","3","Intro to Urban Contexts","33%","56%","11%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Lee David M",""
"ARCH","3500","4","Intro to Urban Contexts","69%","13%","19%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Mendez Clarissa A",""
"ARCH","3500","5","Intro to Urban Contexts","40%","40%","20%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Wilkerson Julie Poe",""
"ARCH","3510","1","Studio Clemson","69%","31%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Albright Dustin",""
"ARCH","3540","1","Studio Barcelona","50%","50%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Roldan Miguel",""
"ARCH","4010","1","Architectural Portfolio","62%","24%","10%","0%","0%","0%","0%","5%","0%","0%","0%","0%","Mendez Clarissa A",""
"ARCH","4010","2","Architectural Portfolio","59%","29%","12%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Melnyk Virginia Ellyn",""
"ARCH","4010","3","Architectural Portfolio","60%","40%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Schafer George J",""
"ARCH","4010","4","Architectural Portfolio","57%","33%","5%","0%","5%","0%","0%","0%","0%","0%","0%","0%","Pass Brandon George",""
"ARCH","4120","2","History Research","80%","20%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Roldan Miguel",""
"ARCH","4140","2","Design Seminar","60%","40%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Roldan Miguel",""
"ARCH","6850","1","H/Th: Arch+Health","83%","17%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Battisto Dina G.",""
"ARCH","8100","1","Visualization I","83%","9%","4%","0%","0%","0%","0%","0%","4%","0%","0%","0%","Choma Joseph",""
"ARCH","8210","1","Research Methods","83%","15%","0%","0%","0%","0%","0%","2%","0%","0%","0%","0%","Battisto Dina G.",""
"ARCH","8410","1","Arch Studio I","55%","36%","0%","0%","0%","0%","0%","0%","9%","0%","0%","0%","Laurence Peter L",""
"ARCH","8410","2","Arch Studio I","60%","30%","0%","0%","10%","0%","0%","0%","0%","0%","0%","0%","Ersoy Ufuk",""
"ARCH","8510","1","Design Studio III","33%","58%","8%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Heine Ulrike Ann-",""
"ARCH","8510","2","Design Studio III","17%","83%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Franco Santa Cruz",""
"ARCH","8510","3","Design Studio III","31%","54%","8%","0%","0%","0%","0%","8%","0%","0%","0%","0%","Schafer George J",""
"ARCH","8570","1","Design Studio V","60%","40%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Albright Dustin",""
"ARCH","8570","4","Design Studio V","60%","40%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Huff Raymond",""
"ARCH","8600","1","History/Theory I","57%","38%","0%","0%","0%","0%","0%","0%","5%","0%","0%","0%","Terim Berrin",""
"ARCH","8700","1","Structures I","71%","12%","6%","0%","6%","0%","0%","0%","6%","0%","0%","0%","Albright Dustin",""
"ARCH","8790","2","Digtial Manufacturing Proc","60%","40%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Hecker Douglas A.",""
"ARCH","8810","1","Pro Practice Survey","76%","22%","0%","0%","0%","0%","0%","2%","0%","0%","0%","0%","Edwards Byron Malet",""
"ARCH","8950","1","A+H Studio: Projects","35%","59%","0%","0%","0%","0%","0%","0%","6%","0%","0%","0%","Allison David J",""
"ART","1050","1","Foundation Drawing I","60%","20%","10%","10%","0%","0%","0%","0%","0%","0%","0%","0%","Johnson Lori Brook",""
"ART","1510","1","Foundations Art I","60%","40%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","De Cuba Rachel Lynn",""
"ART","1510","2","Foundations Art I","60%","30%","0%","10%","0%","0%","0%","0%","0%","0%","0%","0%","Stevens Brooks Harris",""
"ART","2100","1","Art Appreciation","91%","0%","0%","5%","5%","0%","0%","0%","0%","0%","0%","0%","Massey Dustin L",""
"ART","2100","2","Art Appreciation","86%","9%","0%","5%","0%","0%","0%","0%","0%","0%","0%","0%","Waller Megan",""
"ART","2100","4","Art Appreciation","82%","9%","0%","5%","0%","0%","0%","5%","0%","0%","0%","0%","Massey Dustin L",""
"ART","2100","5","Art Appreciation","91%","5%","0%","0%","5%","0%","0%","0%","0%","0%","0%","0%","Van Drie Katherine",""
"ART","2100","6","Art Appreciation","75%","15%","5%","0%","5%","0%","0%","0%","0%","0%","0%","0%","Massey Dustin L",""
"ART","2150","1","Begin Graphic Design","80%","20%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","Gerhard David Sidney",""
"ART","4200","1","Time Base & Digital Art Fn","50%","10%","10%","0%","20%","0%","0%","10%","0%","0%","0%","0%","De Cuba Rachel Lynn",""
"AS","1090","1","Heritage & Values of USAF","82%","6%","0%","0%","0%","0%","0%","12%","0%","0%","0%","0%","Blanton Joseph",""
